clicks_final;impressions_final;cost_final;leads_final;conversions_final;sale_amount_final;conversion_rate_final;Keyword;year;month_num;day;quarter;day_num;week_num;is_weekend;profit;CTR;is_mobile;is_tablet;is_desktop
104;4498;231.88;14;7;1892;0.0673076923;learn data analytics  ;2024;11;16;4;7;46;1;1660.12;0.0231213873;0;0;1
173;5107;216.84;10;8;1679;0.0462427746;data analytics course ;2024;11;20;4;4;47;0;1462.16;0.0338750734;1;0;0
90;4544;203.66;26;9;1624;0.1;data analitics online ;2024;11;16;4;7;46;1;1420.34;0.019806338;0;0;1
142;3185;237.66;17;6;1225;0.0422535211;data anaytics training;2024;11;26;4;3;48;0;987.34;0.0445839874;0;1;0
156;3361;195.9;30;8;1091;0.0512820513;online data analytic  ;2024;11;22;4;6;47;0;895.1;0.0464147575;0;0;1
195;3776;243.57;10;8;1315;0.041025641;data anaytics training;2024;11;16;4;7;46;1;1071.43;0.0516419492;1;0;0
116;4480;237.79;17;5;1640;0.0431034483;data analytics course ;2024;11;6;4;4;45;0;1402.21;0.0258928571;0;1;0
184;5060;229.61;23;3;1509;0.0163043478;analytics for data    ;2024;11;24;4;1;48;1;1279.39;0.0363636364;0;1;0
113;5434;214;27;4;1362;0.0353982301;data anaytics training;2024;11;24;4;1;48;1;1148.0;0.0207949945;0;1;0
166;3355;186.78;24;9;1029;0.0542168675;online data analytic  ;2024;11;12;4;3;46;0;842.22;0.0494783905;1;0;0
101;5399;236.79;20;6;1900;0.0594059406;learn data analytics  ;2024;11;14;4;5;46;0;1663.21;0.018707168;0;0;1
101;3613;208.12;24;5;1130;0.0495049505;online data analytic  ;2024;11;22;4;6;47;0;921.88;0.0279546084;0;0;1
125;3259;191.3;18;3;1959;0.024;data analitics online ;2024;11;27;4;4;48;0;1767.7;0.0383553237;0;0;1
196;3742;207.46;10;7;1623;0.0357142857;data anaytics training;2024;11;12;4;3;46;0;1415.54;0.0523784073;1;0;0
181;4311;185.09;11;9;1538;0.0497237569;data anaytics training;2024;11;4;4;2;45;0;1352.91;0.0419856182;0;0;1
102;5461;201.69;22;8;1755;0.0784313725;data analytics course ;2024;11;29;4;6;48;0;1553.31;0.0186778978;0;0;1
193;5159;217.98;15;9;1614;0.0466321244;learn data analytics  ;2024;11;10;4;1;46;1;1396.02;0.0374103508;1;0;0
149;4431;207.4;19;9;1693;0.0604026846;learn data analytics  ;2024;11;12;4;3;46;0;1485.6;0.0336267208;1;0;0
150;3113;217.41;20;5;1785;0.0333333333;analytics for data    ;2024;11;7;4;5;45;0;1567.59;0.0481850305;1;0;0
145;5278;214.29;25;6;1516;0.0413793103;data analytics course ;2024;11;5;4;3;45;0;1301.71;0.0274725275;0;0;1
184;4143;223.3;10;10;1735;0.0543478261;learn data analytics  ;2024;11;21;4;5;47;0;1511.7;0.0444122616;0;1;0
171;4154;184.23;30;7;1803;0.0409356725;data analitics online ;2024;11;8;4;6;45;0;1618.77;0.041165142;0;1;0
122;5187;211.24;27;6;1322;0.0491803279;online data analytic  ;2024;11;20;4;4;47;0;1110.76;0.0235203393;0;0;1
188;5798;230.17;28;5;1452;0.0265957447;data analytics course ;2024;11;30;4;7;48;1;1221.83;0.0324249741;0;1;0
87;3718;214;12;3;1652;0.0344827586;learn data analytics  ;2024;11;20;4;4;47;0;1438.0;0.0233996772;0;1;0
88;3349;181.92;22;8;1456;0.0909090909;learn data analytics  ;2024;11;20;4;4;47;0;1274.08;0.0262765004;0;1;0
119;5323;205.92;17;10;1656;0.0840336134;online data analytic  ;2024;11;2;4;7;44;1;1450.08;0.0223558144;0;0;1
136;5286;234.89;22;10;1688;0.0735294118;data anaytics training;2024;11;21;4;5;47;0;1453.11;0.025728339;0;0;1
128;5469;188.49;16;3;1783;0.0234375;learn data analytics  ;2024;11;23;4;7;47;1;1594.51;0.0234046444;1;0;0
86;3351;237.75;21;9;1975;0.1046511628;analytics for data    ;2024;11;13;4;4;46;0;1737.25;0.0256639809;1;0;0
188;4834;213.58;15;4;1590;0.0212765957;online data analytic  ;2024;11;8;4;6;45;0;1376.42;0.0388911874;0;1;0
113;5065;212.37;11;5;1111;0.0442477876;online data analytic  ;2024;11;22;4;6;47;0;898.63;0.0223099704;0;0;1
139;3872;244.38;20;4;1041;0.0287769784;data analitics online ;2024;11;12;4;3;46;0;796.62;0.0358987603;0;1;0
176;5509;234.59;19;7;1710;0.0397727273;data analytics course ;2024;11;3;4;1;45;1;1475.41;0.0319477219;0;1;0
121;5610;214.96;23;8;1504;0.0661157025;data analytics course ;2024;11;25;4;2;48;0;1289.04;0.0215686275;1;0;0
